,date,date_idx,total,electric,plug-in hybrid electric,fuel cell,diesel,flex fuel,gasoline,gasoline hybrid,natural gas,propane
13,202011,82,28696245,1.2694448350298098,0.9007241191312662,0.0247732760854251,2.434872576533968,3.984639802176208,87.34057713822835,4.014779634060136,0.0269965634876618,0.0031920552671612
14,202010,81,28726567,1.2504348326759684,0.8975733160178868,0.0246914293657157,2.4265760680696724,3.976646426285466,87.39487736212963,3.998786210687828,0.027194338954599,0.0032200158132365
15,202009,80,28756889,1.2314649195884857,0.8944291574794477,0.0246097552485597,2.4182970557072427,3.968669907235098,87.44906307493832,3.982826515065659,0.0273916973425046,0.0032479173946806
16,202008,79,28787211,1.2125349690874885,0.8912916225194584,0.0245282531885426,2.4100354841599625,3.960710191758417,87.50313463850318,3.9669004406158,0.0275886399693252,0.0032757601978183
17,202007,78,28817533,1.1936448550262786,0.8881606902297987,0.0244469226425454,2.401791298373806,3.952767226812927,87.55709241315,3.951007881208985,0.0277851681474607,0.0033035444081906
18,202006,77,28847855,1.1747944517885298,0.8850363397902548,0.0243657630697325,2.393564443526217,3.944840959579144,87.6109367576896,3.935148731162161,0.027981283183793,0.0033312702105581
19,202005,76,28878177,1.155983634285502,0.8819185504680576,0.02428477393154,2.385354865024894,3.936931337459425,87.66466802942581,3.919322885236142,0.028176986379715,0.0033589377889054
20,202004,75,28908499,1.137212277953276,0.8788073016174239,0.0242039546916635,2.377162508506581,3.929038308076805,87.71828658416337,3.903530238633282,0.0283722790311596,0.0033865473264454
21,202003,74,28938821,1.1184802587500022,0.8757025726791012,0.0241233048160462,2.3689873198358704,3.92116181927384,87.77179277621573,3.887770686995162,0.0285671624286283,0.0034140990056229
22,202002,73,28969143,1.0997874531531706,0.8726043431799139,0.0240428237728675,2.360829245104006,3.91330181911146,87.82518695841296,3.872044126400288,0.0287616378572193,0.003441593008119
23,202001,72,28999465,1.0811337381568935,0.8695125927323142,0.0239625110325311,2.3526882306277037,3.905458255867824,87.87846948210941,3.856350453361812,0.0289557065966561,0.0034690295148548
24,201912,71,29029745,1.0624929705720805,0.8663941071476858,0.0238686216499662,2.344564170301875,3.897616048642521,87.93174380277884,3.8406606740775713,0.0291631910648887,0.0034964137645714
25,201911,70,29000724,1.0416602013108365,0.8571510145746706,0.0234890687556627,2.34036915768034,3.898885420929491,87.97684499186987,3.8287664818299016,0.0293199576672637,0.0035137053819759
26,201910,69,28971703,1.0207856956147865,0.8478894043612141,0.023108755463909,2.336165740757456,3.900157336280853,88.02203653682353,3.816848460720448,0.029477038336338,0.0035310316414606
27,201909,68,28942682,0.9998693279358148,0.8386092208040705,0.0227276794873398,2.3319538942520945,3.901431802346445,88.06731870944095,3.804906539069185,0.0296344340168613,0.0035483926472328
28,201908,67,28913661,0.9789109722217468,0.8293104079763542,0.0223458385294065,2.3277335927816267,3.902708826806816,88.11269178261445,3.792940644908301,0.0297921456573762,0.0035657885039186
29,201907,66,28884640,0.95791050191382,0.8199929097264151,0.021963230284331,2.323504810861413,3.9039884173733856,88.15815603033307,3.7809507059807568,0.0299501742102376,0.003583219316564
30,201906,65,28855619,0.9368677899441352,0.8106566696767101,0.0215798524370591,2.3192675229042914,3.905270581788594,88.20371172768812,3.768936649738826,0.0301085206316315,0.0036006851906382
