,year,county code,January,February,March,April,May,June,July,August,September,October,November,December
0,2021,041,4.1,1.44,2.18,0.09,0.0,0.01,0.0,0.01,0.17,8.78,3.04,10.42
0,2022,041,1.08,0.07,1.04,2.43,0.02,0.56,0.01,0.04,1.03,0.01,1.82,-9.99
0,2015,043,0.13,2.46,0.38,2.11,1.26,0.23,0.66,0.02,0.13,1.72,4.23,6.67
0,2016,043,8.08,1.39,7.28,3.31,0.8,0.18,0.01,0.0,0.05,4.5,2.28,6.82
0,2017,043,14.89,11.57,4.14,4.76,0.45,0.29,0.0,0.5,0.91,0.4,3.79,0.29
0,2018,043,3.75,0.91,11.99,3.4,0.55,0.0,0.06,0.01,0.08,0.87,6.12,2.43
0,2019,043,6.52,11.35,6.03,1.18,4.72,0.17,0.05,0.0,0.23,0.02,1.69,6.1
0,2020,043,1.36,0.1,4.52,3.45,1.83,0.1,0.02,0.04,0.04,0.0,1.6,2.72
0,2021,043,5.03,1.43,2.29,0.55,0.18,0.19,0.2,0.24,0.02,4.88,0.83,10.64
0,2022,043,0.03,0.27,1.6,2.86,0.05,0.08,0.02,0.23,1.12,0.08,2.61,-9.99
0,2015,045,1.04,7.23,1.28,3.08,0.27,0.07,0.24,0.25,0.93,0.3,3.54,17.19
0,2016,045,16.86,2.85,15.39,2.04,1.12,0.46,0.01,0.01,0.02,9.32,7.65,10.19
0,2017,045,20.27,17.66,6.24,5.88,0.27,0.26,0.01,0.01,0.21,0.86,8.68,0.69
0,2018,045,9.85,0.89,8.64,7.38,0.42,0.1,0.01,0.01,0.22,1.59,6.32,6.29
0,2019,045,11.31,20.92,9.87,2.22,5.34,0.02,0.01,0.35,0.71,0.37,2.11,9.17
0,2020,045,7.39,0.08,2.81,1.57,2.64,0.07,0.01,0.3,0.13,0.1,2.57,4.44
0,2021,045,7.81,4.16,3.76,0.72,0.05,0.24,0.01,0.03,0.61,10.66,3.19,12.19
0,2022,045,1.62,0.17,1.58,5.33,0.95,1.07,0.13,0.05,2.32,0.17,4.26,-9.99
0,2015,047,0.02,1.2,0.21,0.66,0.34,0.0,0.01,0.03,0.01,0.42,2.34,1.74
0,2016,047,4.66,0.42,3.06,1.79,0.39,0.0,0.0,0.0,0.0,1.63,0.8,1.71
0,2017,047,5.81,3.73,1.39,1.02,0.12,0.02,0.0,0.0,0.03,0.12,0.7,0.08
0,2018,047,2.2,0.37,3.1,1.06,0.07,0.0,0.0,0.0,0.0,0.05,2.28,1.37
0,2019,047,2.3,3.59,2.17,0.12,1.37,0.0,0.0,0.0,0.03,0.0,0.69,3.58
0,2020,047,0.67,0.0,2.09,1.14,0.22,0.0,0.0,0.0,0.0,0.0,0.61,1.04
0,2021,047,3.52,0.32,0.88,0.02,0.0,0.0,0.0,0.0,0.01,1.48,0.27,4.0
0,2022,047,0.03,0.03,0.93,0.74,0.0,0.01,0.0,0.02,0.22,0.0,1.1,-9.99
0,2015,049,0.39,1.66,1.06,0.77,2.72,0.54,1.32,0.12,0.62,0.91,1.64,5.1
0,2016,049,3.95,0.89,2.8,1.3,2.12,0.85,0.11,0.02,0.07,2.61,1.19,3.26
0,2017,049,4.59,4.44,2.19,2.51,0.62,0.96,0.42,0.49,0.52,0.73,3.13,0.52
0,2018,049,2.01,0.95,2.71,3.1,2.65,0.44,0.14,0.02,0.06,1.25,1.82,2.14
0,2019,049,3.18,4.27,2.53,2.64,2.79,0.18,0.02,0.36,1.81,0.46,0.38,2.6
0,2020,049,3.53,0.3,2.22,0.67,1.7,0.78,0.06,0.14,0.02,0.23,1.63,1.64
0,2021,049,1.6,1.98,1.02,0.74,0.39,0.21,0.07,0.06,1.61,2.89,0.47,3.41
0,2022,049,0.56,0.36,0.75,2.73,1.03,1.27,0.03,0.33,0.99,0.33,2.14,-9.99
0,2015,051,0.18,1.5,0.28,0.77,2.97,0.88,1.66,0.24,0.29,1.43,1.85,2.03
0,2016,051,2.71,1.01,1.88,1.98,1.25,0.6,0.21,0.05,0.28,2.53,0.46,2.26
0,2017,051,10.09,5.85,1.64,2.88,0.94,0.12,0.19,0.91,0.91,0.17,2.59,0.16
0,2018,051,1.06,0.48,4.66,1.45,1.24,0.01,1.61,0.15,0.09,0.51,2.07,0.75
0,2019,051,3.19,6.02,2.98,0.36,2.24,0.23,0.57,0.03,0.21,0.01,1.13,2.15
0,2020,051,0.48,0.13,1.81,1.86,0.35,0.31,0.21,0.5,0.1,0.02,0.91,1.03
0,2021,051,2.42,0.67,0.92,0.19,0.45,0.51,1.36,0.35,0.06,3.15,0.38,5.59
0,2022,051,0.01,0.13,0.63,0.58,0.08,0.07,0.35,2.0,1.43,0.1,1.46,-9.99
0,2015,053,0.1,2.19,0.29,1.24,0.39,0.05,0.13,0.04,0.04,0.43,3.07,3.27
0,2016,053,6.92,1.1,4.83,0.77,0.24,0.01,0.0,0.0,0.0,2.31,1.95,2.73
0,2017,053,12.07,7.6,2.01,1.74,0.11,0.05,0.03,0.02,0.07,0.15,1.04,0.13
0,2018,053,3.93,0.35,6.84,1.24,0.06,0.0,0.01,0.0,0.0,0.27,3.96,2.55
0,2019,053,5.09,8.85,3.48,0.38,1.99,0.03,0.0,0.0,0.03,0.0,2.23,8.42
0,2020,053,1.25,0.02,4.06,2.49,0.38,0.01,0.01,0.04,0.0,0.0,0.56,1.39
0,2021,053,7.68,0.34,1.71,0.05,0.01,0.0,0.03,0.0,0.01,2.35,0.41,8.2
0,2022,053,0.1,0.14,1.41,0.79,0.0,0.07,0.0,0.03,0.62,0.01,2.07,-9.99
0,2015,055,0.06,4.33,0.19,1.63,0.15,0.11,0.06,0.01,0.28,0.21,1.68,5.17
0,2016,055,9.59,1.15,9.62,1.31,0.36,0.01,0.0,0.0,0.0,5.39,2.74,5.84
0,2017,055,17.81,13.0,3.64,3.68,0.03,0.38,0.0,0.0,0.04,0.21,4.4,0.11
0,2018,055,5.5,0.31,7.12,3.1,0.15,0.0,0.01,0.0,0.04,0.78,4.43,3.12
0,2019,055,8.69,14.41,6.18,0.96,3.48,0.0,0.01,0.0,0.07,0.0,1.03,8.67
0,2020,055,2.71,0.01,1.5,1.16,1.39,0.0,0.0,0.1,0.0,0.0,1.29,2.16
0,2021,055,4.3,1.93,2.19,0.15,0.01,0.0,0.0,0.0,0.07,7.99,1.71,8.82
0,2022,055,0.82,0.06,1.03,1.87,0.13,0.29,0.01,0.08,1.1,0.0,1.5,-9.99
0,2015,057,0.11,6.73,0.9,3.29,1.46,0.63,0.46,0.1,0.19,1.64,5.11,11.46
0,2016,057,14.36,2.29,14.62,3.18,2.09,0.15,0.0,0.04,0.04,12.31,5.48,11.22
