County,Sector,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,Total Usage
EL DORADO,Total,1255.641756,1226.007831,1218.270201,1259.648075,1214.983528,1174.698244,1193.844895,1244.701177,1254.051314,1244.342205,1240.751227,1268.992745,1286.734016,1275.411874,1279.562975,1207.096387,1165.387489,1109.205427,1124.839991,1113.688127,1133.429392,1099.915042,1068.172754,1015.461433,999.489981,956.658644,917.585605,919.313603,893.339931,881.783012,876.767177,35119.77606
KINGS,Non-Residential,1444.913553,1233.341708,1398.933416,1133.245386,1424.310888,1406.585693,1440.017026,1413.102651,1311.567565,1068.367488,1103.794173,1220.239374,1136.639608,1076.644196,1031.801356,984.737346,1008.941578,763.561952,688.776134,640.814277,643.209937,693.797213,674.310508,731.746107,690.887686,662.551733,769.032434,657.159263,787.960918,785.165653,739.232692,30765.38951
KINGS,Residential,432.346131,388.387877,375.14876,379.810579,365.065164,368.123705,377.143813,371.625369,369.23932,354.653858,348.778435,364.96414,358.929498,346.799155,355.549686,330.186871,326.267423,313.893966,291.759513,283.642465,291.393185,273.951361,265.431352,265.212348,261.264399,243.132359,241.366747,232.703312,233.932851,231.619948,224.178059,9866.501649
KINGS,Total,1877.259683,1621.729585,1774.082176,1513.055965,1789.376052,1774.709398,1817.160839,1784.72802,1680.806884,1423.021346,1452.572608,1585.203513,1495.569106,1423.443351,1387.351042,1314.924217,1335.209,1077.455918,980.535647,924.456742,934.603122,967.748574,939.74186,996.958456,952.152085,905.684092,1010.399181,889.862575,1021.893769,1016.785601,963.410751,40631.89116
SAN DIEGO,Non-Residential,11657.67945,12415.79786,12768.02161,12614.44692,12964.56127,13045.63771,13069.64771,12812.09711,12655.258,12429.08519,12488.26644,12770.54343,13071.30332,12894.53594,12703.05082,12139.56344,12112.56492,11498.21637,11112.41437,10854.81444,12115.88844,11593.13365,10681.72672,10449.25086,9974.420217,9684.593367,9515.537904,9359.186998,9381.470483,8890.077469,9191.469088,358914.2615
SAN DIEGO,Residential,7387.046267,6573.152838,6711.739591,6747.412499,6677.171207,6826.944131,6830.15182,6782.571757,6892.874708,6692.268102,6626.887524,6790.824725,6916.899923,6751.637513,6718.078167,6327.958855,6331.095832,6043.330468,5677.83069,5494.498504,5853.184856,5840.593866,5713.605691,5530.367207,5385.364689,5213.745075,5218.545736,5062.419031,5120.24095,4879.208742,5204.506395,190822.1574
SAN DIEGO,Total,19044.72572,18988.9507,19479.7612,19361.85942,19641.73248,19872.58184,19899.79953,19594.66886,19548.1327,19121.3533,19115.15396,19561.36815,19988.20324,19646.17346,19421.12899,18467.5223,18443.66075,17541.54684,16790.24506,16349.31295,17969.0733,17433.72751,16395.33241,15979.61807,15359.78491,14898.33844,14734.08364,14421.60603,14501.71143,13769.28621,14395.97548,549736.4189
IMPERIAL,Non-Residential,834.483019,839.095659,831.318925,817.450656,895.952526,884.977279,910.369717,920.033589,931.260079,915.34463,894.413782,912.240599,961.130543,877.690028,908.801979,936.009552,948.427988,912.367114,810.702212,869.703226,721.711678,559.984103,620.023033,813.513137,822.645625,810.42616,794.266556,763.275605,686.033622,644.086319,640.630874,25688.36981
IMPERIAL,Residential,651.747098,577.57133,636.399959,627.829465,544.605639,534.139455,536.135344,530.496211,539.425171,513.96626,497.95162,514.220201,502.318925,522.130207,527.443761,486.203706,478.09832,476.96526,445.546523,464.963026,370.534379,403.588289,367.229676,350.996039,330.261908,304.076615,310.161299,67.399539,67.375904,77.573168,136.984365,13394.33866
IMPERIAL,Total,1486.230116,1416.666988,1467.718883,1445.280122,1440.558165,1419.116734,1446.505061,1450.5298,1470.68525,1429.31089,1392.365402,1426.4608,1463.449468,1399.820236,1436.245739,1422.213258,1426.526308,1389.332374,1256.248736,1334.666253,1092.246057,963.572392,987.252709,1164.509176,1152.907533,1114.502774,1104.427855,830.675143,753.409526,721.659488,777.615239,39082.70848
TRINITY,Non-Residential,139.044118,125.405784,120.411967,125.816034,117.730556,101.051829,107.412887,108.320334,100.586127,109.583381,77.454181,83.031267,2.423341,1.991885,62.783185,63.824159,6.957762,15.714568,15.087174,2.208223,2.480198,2.799628,2.31293,2.864903,2.968178,3.00278,3.086261,6.321745,9.538606,10.250799,10.094531,1542.559321
TRINITY,Residential,10.566031,9.517829,10.070621,11.466836,10.834642,10.104943,10.276209,11.067992,11.337604,11.4722,11.181879,10.5832,9.961603,9.410624,8.548091,8.258118,8.393645,7.839283,7.947296,7.554643,7.86844,7.574803,7.393925,7.337407,7.248651,7.045808,7.025787,17.383441,25.816312,26.623264,26.298566,344.009693
TRINITY,Total,149.610149,134.923613,130.482588,137.28287,128.565198,111.156772,117.689096,119.388326,111.923731,121.055581,88.63606,93.614467,12.384944,11.402509,71.331277,72.082278,15.351407,23.553851,23.03447,9.762866,10.348639,10.374431,9.706855,10.202311,10.216828,10.048588,10.112048,23.705185,35.354918,36.874063,36.393096,1886.569015
COLUSA,Non-Residential,249.384219,224.262192,235.555578,227.652879,233.971861,243.903307,240.341584,233.964237,214.866103,207.051296,193.170193,200.079944,193.102229,186.457499,183.224933,184.719636,175.42303,163.501641,198.647619,196.950031,184.207127,187.789259,150.243733,160.209239,151.239858,144.016009,154.01777,145.180261,145.705115,143.530792,145.04475,5897.413924
COLUSA,Residential,73.250484,66.850386,65.425177,68.39382,64.793233,64.340477,64.860402,64.840356,65.673456,64.394165,63.423289,65.591311,64.248522,64.192325,65.002036,63.475316,59.630949,58.221327,54.71279,53.398152,56.692548,54.987594,54.668412,54.037338,53.461666,50.557113,50.078667,49.733609,50.535778,50.731018,50.598114,1850.79983
COLUSA,Total,322.634703,291.112578,300.980754,296.046698,298.765094,308.243785,305.201986,298.804592,280.539559,271.44546,256.593482,265.671255,257.350752,250.649824,248.226969,248.194952,235.05398,221.722968,253.360409,250.348184,240.899676,242.776854,204.912146,214.246577,204.701523,194.573122,204.096438,194.91387,196.240893,194.261811,195.642863,7748.213757
SANTA BARBARA,Non-Residential,1926.281951,2006.45974,2073.171789,2040.950725,2096.908807,2345.371011,2606.151969,2543.666227,2426.391038,2440.505932,2431.386218,2430.038214,2450.576951,2366.611175,2415.409403,2436.146497,2375.864845,2221.891124,2279.189657,2006.912825,2092.638857,1993.019333,2016.011861,2077.341788,1986.411789,1917.759204,1894.46518,1938.906498,1911.934757,1861.6068,1837.320207,67447.30237
SANTA BARBARA,Residential,837.127938,788.050911,758.279448,765.400403,759.004767,765.938248,805.725443,832.595334,837.982892,800.783381,801.523873,809.097071,815.702408,813.73551,773.119208,807.174602,789.748037,772.945977,742.539163,736.791305,773.08073,737.409142,719.325416,706.49292,682.029493,672.124025,670.743134,662.362487,655.938051,659.268904,647.314279,23399.3545
SANTA BARBARA,Total,2763.409889,2794.510651,2831.451237,2806.351129,2855.913573,3111.309259,3411.877411,3376.261562,3264.37393,3241.289313,3232.910091,3239.135285,3266.279359,3180.346685,3188.528611,3243.321099,3165.612882,2994.837101,3021.728819,2743.70413,2865.719587,2730.428474,2735.337278,2783.834708,2668.441282,2589.883229,2565.208314,2601.268984,2567.872808,2520.875703,2484.634486,90846.65687
SIERRA,Non-Residential,8.83194,9.210565,7.849099,8.251277,10.142541,9.663688,10.396762,9.623206,9.371957,9.35776,9.325308,10.033662,10.599838,11.467064,9.007381,9.900346,9.507515,19.922779,17.39071,20.715837,8.115739,8.086342,8.351575,8.387507,8.549374,9.019513,8.647206,7.637668,6.008249,9.931283,10.437353,313.741044
SIERRA,Residential,13.420835,12.784155,13.255503,13.657788,15.802454,14.473186,13.289112,13.916899,14.208913,14.045398,14.378415,14.395801,14.503456,16.766728,14.853833,15.2229,15.111176,15.062185,14.777148,14.826266,14.627973,14.848177,14.731826,13.908981,13.839174,13.550549,13.418544,10.250577,9.83469,13.437381,13.450056,434.650079
