date,demand
20221105T11Z,24768
20221105T10Z,25536
20221105T09Z,26091
20221105T08Z,26858
20221105T07Z,28299
20221105T06Z,29722
20221105T05Z,30580
20221105T04Z,31328
20221105T03Z,31530
20221105T02Z,30158
20221105T01Z,28610
20221105T00Z,27673
20221104T23Z,27609
20221104T22Z,27933
20221104T21Z,28569
20221104T20Z,29235
20221104T19Z,30703
20221104T18Z,31434
20221104T17Z,31893
20221104T16Z,31842
20221104T15Z,29857
20221104T14Z,27224
20221104T13Z,26035
20221104T12Z,25645
20221104T11Z,25763
20221104T10Z,26095
20221104T09Z,26842
20221104T08Z,27383
20221104T07Z,28656
20221104T06Z,30142
20221104T05Z,31314
20221104T04Z,32233
20221104T03Z,32243
20221104T02Z,30363
20221104T01Z,28331
20221104T00Z,26792
20221103T23Z,26743
20221103T22Z,26812
20221103T21Z,27562
20221103T20Z,28024
20221103T19Z,28670
20221103T18Z,29840
20221103T17Z,30779
20221103T16Z,31051
20221103T15Z,29320
20221103T14Z,26626
20221103T13Z,24936
20221103T12Z,24711
20221103T11Z,24701
20221103T10Z,25069
20221103T09Z,25789
20221103T08Z,26926
20221103T07Z,28618
20221103T06Z,30225
20221103T05Z,30639
20221103T04Z,32250
20221103T03Z,32585
20221103T02Z,30924
20221103T01Z,29148
20221103T00Z,27712
20221102T23Z,27242
20221102T22Z,27562
20221102T21Z,28157
20221102T20Z,29074
20221102T19Z,30024
20221102T18Z,30567
20221102T17Z,30468
20221102T16Z,30295
20221102T15Z,28662
20221102T14Z,26224
20221102T13Z,24746
20221102T12Z,24646
20221102T11Z,25094
20221102T10Z,25222
20221102T09Z,26183
20221102T08Z,26874
20221102T07Z,28479
20221102T06Z,30246
20221102T05Z,31575
20221102T04Z,32403
20221102T03Z,32738
20221102T02Z,31450
20221102T01Z,30115
20221102T00Z,29204
20221101T23Z,30137
20221101T22Z,30538
20221101T21Z,30512
20221101T20Z,30804
20221101T19Z,30511
20221101T18Z,30171
20221101T17Z,30090
