,date,demand,emissions
436,20221109T19Z,29449,106563
437,20221109T18Z,30784,104659
438,20221109T17Z,30966,89713
439,20221109T16Z,29891,58898
440,20221109T15Z,27627,45919
441,20221109T14Z,25845,48657
442,20221109T13Z,24927,52484
443,20221109T12Z,24972,50485
444,20221109T11Z,25558,53486
445,20221109T10Z,26044,61602
446,20221109T09Z,26880,76605
447,20221109T08Z,28446,92677
448,20221109T07Z,30288,100203
449,20221109T06Z,31778,93517
450,20221109T05Z,33017,87556
451,20221109T04Z,33705,83559
452,20221109T03Z,33954,84793
453,20221109T02Z,32739,87419
454,20221109T01Z,31614,89148
456,20221108T23Z,31631,96640
457,20221108T22Z,32512,98415
458,20221108T21Z,32416,103595
459,20221108T20Z,32564,106093
460,20221108T19Z,32576,106613
461,20221108T18Z,32000,104254
462,20221108T17Z,31368,93438
463,20221108T16Z,29571,81692
464,20221108T15Z,27361,81366
465,20221108T14Z,25700,77486
466,20221108T13Z,25179,86679
467,20221108T12Z,25341,85565
468,20221108T11Z,25267,89286
469,20221108T10Z,25929,87231
470,20221108T09Z,26765,88141
471,20221108T08Z,28136,95248
472,20221108T07Z,29722,97795
473,20221108T06Z,30968,93286
474,20221108T05Z,32046,88624
475,20221108T04Z,32886,90249
476,20221108T03Z,33336,91999
477,20221108T02Z,32187,89341
478,20221108T01Z,31060,90185
480,20221107T23Z,29821,100901
481,20221107T22Z,29975,104489
482,20221107T21Z,29971,107931
483,20221107T20Z,29746,107514
484,20221107T19Z,29790,108672
485,20221107T18Z,29742,108487
486,20221107T17Z,30019,101159
487,20221107T16Z,28649,82355
488,20221107T15Z,26538,72986
489,20221107T14Z,24926,73178
490,20221107T13Z,24459,75399
491,20221107T12Z,24396,76080
492,20221107T11Z,24751,73192
493,20221107T10Z,25374,74702
494,20221107T09Z,25525,76846
495,20221107T08Z,26708,88796
496,20221107T07Z,28084,92997
497,20221107T06Z,29303,90180
498,20221107T05Z,29906,85743
499,20221107T04Z,30390,87556
500,20221107T03Z,30365,87951
501,20221107T02Z,28256,87257
502,20221107T01Z,26169,86628
504,20221106T23Z,24021,95305
505,20221106T22Z,23777,100475
506,20221106T21Z,24193,101994
507,20221106T20Z,24641,102687
508,20221106T19Z,24897,102201
509,20221106T18Z,26003,97462
510,20221106T17Z,25613,82289
511,20221106T16Z,24565,56990
512,20221106T15Z,23688,41918
513,20221106T14Z,23336,39985
514,20221106T13Z,23370,43814
515,20221106T12Z,23162,51193
516,20221106T11Z,23440,52515
517,20221106T10Z,23950,52605
518,20221106T09Z,24761,63239
519,20221106T08Z,25766,69969
520,20221106T07Z,27247,76578
521,20221106T06Z,28405,74846
522,20221106T05Z,28310,74852
523,20221106T04Z,28693,76523
524,20221106T03Z,29714,73623
525,20221106T02Z,28505,79100
526,20221106T01Z,27397,80402
528,20221105T23Z,24953,90371
529,20221105T22Z,24909,92250
530,20221105T21Z,25020,92106
531,20221105T20Z,25224,90251
532,20221105T19Z,25944,90725
533,20221105T18Z,27054,83669
534,20221105T17Z,27376,68511
535,20221105T16Z,26980,54510
536,20221105T15Z,26034,47069
537,20221105T14Z,24981,48141
538,20221105T13Z,24742,47762
539,20221105T12Z,24866,47598
540,20221105T11Z,24768,48768
541,20221105T10Z,25536,56972
542,20221105T09Z,26091,72697
543,20221105T08Z,26858,83015
544,20221105T07Z,28299,85181
545,20221105T06Z,29722,85006
546,20221105T05Z,30580,87431
547,20221105T04Z,31328,90077
548,20221105T03Z,31530,88281
549,20221105T02Z,30158,90402
550,20221105T01Z,28610,90776
552,20221104T23Z,27609,96930
553,20221104T22Z,27933,100486
554,20221104T21Z,28569,102655
555,20221104T20Z,29235,104412
556,20221104T19Z,30703,102934
557,20221104T18Z,31434,95698
558,20221104T17Z,31893,76327
559,20221104T16Z,31842,58208
560,20221104T15Z,29857,52808
561,20221104T14Z,27224,55435
562,20221104T13Z,26035,60405
563,20221104T12Z,25645,61101
564,20221104T11Z,25763,68560
565,20221104T10Z,26095,72623
566,20221104T09Z,26842,92252
567,20221104T08Z,27383,110955
568,20221104T07Z,28656,104373
569,20221104T06Z,30142,94497
570,20221104T05Z,31314,94676
571,20221104T04Z,32233,95645
572,20221104T03Z,32243,98596
573,20221104T02Z,30363,99450
574,20221104T01Z,28331,101284
576,20221103T23Z,26743,101456
577,20221103T22Z,26812,103159
578,20221103T21Z,27562,102163
579,20221103T20Z,28024,99169
580,20221103T19Z,28670,95792
581,20221103T18Z,29840,81646
582,20221103T17Z,30779,56693
583,20221103T16Z,31051,44128
584,20221103T15Z,29320,45508
585,20221103T14Z,26626,46700
586,20221103T13Z,24936,50292
587,20221103T12Z,24711,50776
588,20221103T11Z,24701,53017
589,20221103T10Z,25069,67393
590,20221103T09Z,25789,78399
591,20221103T08Z,26926,96238
592,20221103T07Z,28618,90105
593,20221103T06Z,30225,78527
594,20221103T05Z,30639,73588
595,20221103T04Z,32250,77232
596,20221103T03Z,32585,79214
597,20221103T02Z,30924,82617
598,20221103T01Z,29148,83837
600,20221102T23Z,27242,98116
601,20221102T22Z,27562,99389
602,20221102T21Z,28157,102094
603,20221102T20Z,29074,102185
604,20221102T19Z,30024,96509
605,20221102T18Z,30567,86253
606,20221102T17Z,30468,69096
607,20221102T16Z,30295,47924
608,20221102T15Z,28662,47952
609,20221102T14Z,26224,52518
610,20221102T13Z,24746,53753
611,20221102T12Z,24646,54845
612,20221102T11Z,25094,60596
613,20221102T10Z,25222,67936
614,20221102T09Z,26183,75460
615,20221102T08Z,26874,85805
616,20221102T07Z,28479,83587
617,20221102T06Z,30246,76893
618,20221102T05Z,31575,75077
619,20221102T04Z,32403,79293
620,20221102T03Z,32738,82384
621,20221102T02Z,31450,80500
622,20221102T01Z,30115,84959
624,20221101T23Z,30137,93461
625,20221101T22Z,30538,100058
626,20221101T21Z,30512,102969
627,20221101T20Z,30804,100611
628,20221101T19Z,30511,99953
629,20221101T18Z,30171,88025
630,20221101T17Z,30090,70960
631,20221101T16Z,30131,64417
632,20221101T15Z,28779,65124
633,20221101T14Z,26648,66759
634,20221101T13Z,25134,65940
635,20221101T12Z,24975,69656
636,20221101T11Z,24985,71384
637,20221101T10Z,25218,75308
638,20221101T09Z,25673,85207
639,20221101T08Z,26676,104236
640,20221101T07Z,28131,98071
641,20221101T06Z,29937,92211
642,20221101T05Z,29738,87802
643,20221101T04Z,31153,89954
644,20221101T03Z,31837,90248
645,20221101T02Z,31623,89813
646,20221101T01Z,30814,90987
648,20221031T23Z,30502,93461
649,20221031T22Z,30609,100058
650,20221031T21Z,30080,102969
651,20221031T20Z,30154,100611
652,20221031T19Z,30357,99953
653,20221031T18Z,30120,88025
654,20221031T17Z,29686,70960
655,20221031T16Z,29813,64417
656,20221031T15Z,28719,65124
657,20221031T14Z,26178,66759
658,20221031T13Z,24563,65940
659,20221031T12Z,24230,69656
660,20221031T11Z,24380,71384
661,20221031T10Z,24543,75308
662,20221031T09Z,25182,85207
663,20221031T08Z,26078,104236
664,20221031T07Z,26919,98071
665,20221031T06Z,28341,92211
666,20221031T05Z,28648,87802
667,20221031T04Z,30266,89954
668,20221031T03Z,30570,90248
669,20221031T02Z,29222,89813
670,20221031T01Z,27364,90987
672,20221030T23Z,24755,93461
673,20221030T22Z,24303,100058
674,20221030T21Z,24025,102969
675,20221030T20Z,23950,100611
676,20221030T19Z,24411,99953
677,20221030T18Z,25050,88025
678,20221030T17Z,25023,70960
679,20221030T16Z,25305,64417
680,20221030T15Z,24832,65124
681,20221030T14Z,23931,66759
682,20221030T13Z,23680,65940
683,20221030T12Z,23699,69656
684,20221030T11Z,23946,71384
685,20221030T10Z,24636,75308
686,20221030T09Z,25426,85207
687,20221030T08Z,26366,104236
688,20221030T07Z,27275,98071
689,20221030T06Z,27797,92211
690,20221030T05Z,28627,87802
691,20221030T04Z,29447,89954
692,20221030T03Z,29961,90248
693,20221030T02Z,28742,89813
694,20221030T01Z,27191,90987
696,20221029T23Z,24602,93461
697,20221029T22Z,24658,100058
698,20221029T21Z,24951,102969
699,20221029T20Z,25282,100611
700,20221029T19Z,25988,99953
701,20221029T18Z,26686,88025
702,20221029T17Z,26495,70960
703,20221029T16Z,26837,64417
704,20221029T15Z,26066,65124
705,20221029T14Z,25160,66759
706,20221029T13Z,24739,65940
707,20221029T12Z,24663,69656
708,20221029T11Z,25018,71384
709,20221029T10Z,25672,75308
710,20221029T09Z,26456,85207
711,20221029T08Z,27393,104236
712,20221029T07Z,28794,98071
713,20221029T06Z,30225,92211
714,20221029T05Z,31128,87802
715,20221029T04Z,31572,89954
716,20221029T03Z,31956,90248
717,20221029T02Z,30913,89813
718,20221029T01Z,29917,90987
720,20221028T23Z,29318,109560
721,20221028T22Z,29227,114231
722,20221028T21Z,28892,112484
723,20221028T20Z,29068,109821
724,20221028T19Z,29303,107183
725,20221028T18Z,29793,99711
726,20221028T17Z,29828,81245
727,20221028T16Z,30526,66270
728,20221028T15Z,29283,61551
729,20221028T14Z,27112,62004
730,20221028T13Z,25680,60139
731,20221028T12Z,25440,62118
732,20221028T11Z,25584,60552
733,20221028T10Z,25959,63937
734,20221028T09Z,26148,76758
735,20221028T08Z,26924,105105
736,20221028T07Z,28530,102273
737,20221028T06Z,30286,99219
738,20221028T05Z,30935,97292
739,20221028T04Z,31989,99788
740,20221028T03Z,32845,99920
741,20221028T02Z,32090,99392
742,20221028T01Z,30620,95972
744,20221027T23Z,29055,104610
745,20221027T22Z,28296,108317
746,20221027T21Z,27884,108573
747,20221027T20Z,28446,108984
748,20221027T19Z,28894,109321
749,20221027T18Z,29546,96900
750,20221027T17Z,30215,68158
751,20221027T16Z,30378,51343
752,20221027T15Z,28933,50898
753,20221027T14Z,26696,49415
754,20221027T13Z,25159,50398
755,20221027T12Z,24548,53072
756,20221027T11Z,24603,52689
757,20221027T10Z,25027,56843
758,20221027T09Z,25889,74241
759,20221027T08Z,26724,96235
760,20221027T07Z,28370,91795
761,20221027T06Z,30151,89833
762,20221027T05Z,31534,85813
763,20221027T04Z,32697,82134
764,20221027T03Z,33003,79863
765,20221027T02Z,31833,79411
766,20221027T01Z,30284,81215
768,20221026T23Z,27409,87638
769,20221026T22Z,26972,92760
770,20221026T21Z,26948,97425
771,20221026T20Z,27694,98924
772,20221026T19Z,28720,99651
773,20221026T18Z,30249,90431
774,20221026T17Z,30255,61478
775,20221026T16Z,30167,40447
776,20221026T15Z,28911,34607
