,date,demand,emissions,registered EVs
324,20221114T11Z,25158,4368,test
325,20221114T10Z,25628,4262,test
326,20221114T09Z,26643,4606,test
327,20221114T08Z,28185,6534,test
328,20221114T07Z,29540,8529,test
329,20221114T06Z,30199,7793,test
330,20221114T05Z,30907,7841,test
331,20221114T04Z,31290,7650,test
332,20221114T03Z,31196,8000,test
333,20221114T02Z,28801,7672,test
334,20221114T01Z,25640,8017,test
335,20221114T00Z,24188,8217,test
336,20221113T23Z,23421,8816,test
337,20221113T22Z,23583,8871,test
338,20221113T21Z,23753,8488,test
339,20221113T20Z,24633,8457,test
340,20221113T19Z,25459,8576,test
341,20221113T18Z,26375,8660,test
342,20221113T17Z,26373,7868,test
343,20221113T16Z,25967,5402,test
344,20221113T15Z,25227,3019,test
345,20221113T14Z,24677,3057,test
346,20221113T13Z,24577,2934,test
347,20221113T12Z,24768,2651,test
348,20221113T11Z,25324,2595,test
349,20221113T10Z,26013,2901,test
350,20221113T09Z,26524,2992,test
351,20221113T08Z,27573,4079,test
352,20221113T07Z,28581,6296,test
353,20221113T06Z,29318,6715,test
354,20221113T05Z,29904,6714,test
355,20221113T04Z,30388,6735,test
356,20221113T03Z,30335,6651,test
357,20221113T02Z,28518,6774,test
358,20221113T01Z,25942,6925,test
359,20221113T00Z,24239,7181,test
360,20221112T23Z,23712,7136,test
361,20221112T22Z,23673,7342,test
362,20221112T21Z,24040,7526,test
363,20221112T20Z,24604,7731,test
364,20221112T19Z,25613,7728,test
365,20221112T18Z,26574,7695,test
366,20221112T17Z,26677,7271,test
367,20221112T16Z,26997,5491,test
368,20221112T15Z,26169,2967,test
369,20221112T14Z,25527,2420,test
370,20221112T13Z,25234,2511,test
371,20221112T12Z,25142,2989,test
372,20221112T11Z,25774,2915,test
373,20221112T10Z,26560,3357,test
374,20221112T09Z,27363,3889,test
375,20221112T08Z,26426,5012,test
376,20221112T07Z,27634,7517,test
377,20221112T06Z,28449,7879,test
378,20221112T05Z,29248,7778,test
379,20221112T04Z,29790,7571,test
380,20221112T03Z,29884,7418,test
381,20221112T02Z,28222,7565,test
382,20221112T01Z,26468,7902,test
383,20221112T00Z,25477,8079,test
384,20221111T23Z,25857,8496,test
385,20221111T22Z,26164,9002,test
386,20221111T21Z,27393,9045,test
387,20221111T20Z,28023,9405,test
388,20221111T19Z,28331,9328,test
389,20221111T18Z,29565,9384,test
390,20221111T17Z,30175,8965,test
391,20221111T16Z,29214,7183,test
392,20221111T15Z,27681,5318,test
393,20221111T14Z,26228,4680,test
394,20221111T13Z,25570,4010,test
395,20221111T12Z,25608,4324,test
396,20221111T11Z,26034,4417,test
397,20221111T10Z,26566,4629,test
398,20221111T09Z,27433,5343,test
399,20221111T08Z,28942,6538,test
400,20221111T07Z,30511,8262,test
401,20221111T06Z,31615,7987,test
402,20221111T05Z,32397,7702,test
403,20221111T04Z,32901,7679,test
404,20221111T03Z,32984,7589,test
405,20221111T02Z,31231,7775,test
406,20221111T01Z,28712,7977,test
407,20221111T00Z,27301,8374,test
408,20221110T23Z,26578,8605,test
409,20221110T22Z,26588,9247,test
410,20221110T21Z,26537,9342,test
411,20221110T20Z,27198,9456,test
412,20221110T19Z,29477,9591,test
413,20221110T18Z,29638,9522,test
414,20221110T17Z,31362,9229,test
415,20221110T16Z,30596,6810,test
416,20221110T15Z,28270,4027,test
417,20221110T14Z,26375,3589,test
418,20221110T13Z,25706,4158,test
419,20221110T12Z,25665,3734,test
420,20221110T11Z,25618,3906,test
421,20221110T10Z,26281,3986,test
422,20221110T09Z,27093,4414,test
423,20221110T08Z,28804,6793,test
424,20221110T07Z,30520,8824,test
425,20221110T06Z,31814,8677,test
426,20221110T05Z,32827,7746,test
427,20221110T04Z,33454,7446,test
428,20221110T03Z,33425,7788,test
429,20221110T02Z,31564,7518,test
430,20221110T01Z,29297,7775,test
431,20221110T00Z,27689,7877,test
432,20221109T23Z,27577,8178,test
433,20221109T22Z,27708,8642,test
434,20221109T21Z,27943,8721,test
435,20221109T20Z,28559,8544,test
436,20221109T19Z,29449,8796,test
437,20221109T18Z,30784,8941,test
438,20221109T17Z,30966,8475,test
439,20221109T16Z,29891,6099,test
440,20221109T15Z,27627,3986,test
441,20221109T14Z,25845,3601,test
442,20221109T13Z,24927,4370,test
443,20221109T12Z,24972,4279,test
444,20221109T11Z,25558,4364,test
445,20221109T10Z,26044,4630,test
446,20221109T09Z,26880,5479,test
447,20221109T08Z,28446,7273,test
448,20221109T07Z,30288,8332,test
449,20221109T06Z,31778,7953,test
450,20221109T05Z,33017,7556,test
