,date,demand,emissions
1109,20221012T18Z,33731,101227
1110,20221012T17Z,32315,85611
1111,20221012T16Z,31301,73416
1112,20221012T15Z,29729,64476
1113,20221012T14Z,27551,60356
1114,20221012T13Z,26117,57550
1115,20221012T12Z,25691,63294
1116,20221012T11Z,26413,66959
1117,20221012T10Z,26892,70502
1128,20221011T23Z,34308,105924
1129,20221011T22Z,32887,110036
1130,20221011T21Z,32325,114743
1131,20221011T20Z,32473,116973
1132,20221011T19Z,33329,117420
1133,20221011T18Z,33869,104806
1134,20221011T17Z,32618,86388
1135,20221011T16Z,31521,75458
1136,20221011T15Z,29962,63536
1137,20221011T14Z,27908,56944
1138,20221011T13Z,26854,58950
1139,20221011T12Z,26899,64008
1140,20221011T11Z,26937,73239
1141,20221011T10Z,27612,78083
1152,20221010T23Z,35639,110917
1153,20221010T22Z,34404,117977
1154,20221010T21Z,33674,120118
1155,20221010T20Z,33722,121924
1156,20221010T19Z,34453,122668
1157,20221010T18Z,34602,109496
1158,20221010T17Z,32709,92740
1159,20221010T16Z,31127,79838
1160,20221010T15Z,29492,71388
1161,20221010T14Z,27345,68505
1162,20221010T13Z,26119,71436
1163,20221010T12Z,25798,78179
1164,20221010T11Z,25939,83602
1165,20221010T10Z,26316,84085
1176,20221009T23Z,33034,104322
1177,20221009T22Z,31082,110800
1178,20221009T21Z,29892,112016
1179,20221009T20Z,29528,111690
1180,20221009T19Z,29931,113555
1181,20221009T18Z,29752,102452
1182,20221009T17Z,28737,75565
1183,20221009T16Z,26743,62390
1184,20221009T15Z,25840,56411
1185,20221009T14Z,25345,49699
1186,20221009T13Z,25356,51448
1187,20221009T12Z,25851,55600
1188,20221009T11Z,26274,59918
1189,20221009T10Z,27135,61113
1200,20221008T23Z,35141,104703
1201,20221008T22Z,33326,108303
1202,20221008T21Z,32227,113192
1203,20221008T20Z,31476,118175
1204,20221008T19Z,31234,118699
1205,20221008T18Z,31376,103430
1206,20221008T17Z,30470,84514
1207,20221008T16Z,28186,70553
1208,20221008T15Z,27464,62526
1209,20221008T14Z,26674,58585
1210,20221008T13Z,26334,61619
1211,20221008T12Z,26325,65623
1212,20221008T11Z,26931,68784
1213,20221008T10Z,27973,76253
1224,20221007T23Z,38714,115295
1225,20221007T22Z,37253,119132
1226,20221007T21Z,35847,120694
1227,20221007T20Z,34435,126753
1228,20221007T19Z,34124,133477
1229,20221007T18Z,34237,117467
1230,20221007T17Z,33491,96810
1231,20221007T16Z,31880,83768
1232,20221007T15Z,30228,75103
1233,20221007T14Z,28263,71676
1234,20221007T13Z,27298,71039
1235,20221007T12Z,27504,69168
1236,20221007T11Z,27669,74374
1237,20221007T10Z,28212,80591
1248,20221006T23Z,37878,111158
1249,20221006T22Z,36347,116600
1250,20221006T21Z,34579,115610
1251,20221006T20Z,33972,121600
1252,20221006T19Z,33822,128970
1253,20221006T18Z,33917,117916
1254,20221006T17Z,33454,98903
1255,20221006T16Z,31200,82940
1256,20221006T15Z,30040,76610
1257,20221006T14Z,28364,71873
1258,20221006T13Z,27037,68094
1259,20221006T12Z,26823,70703
1260,20221006T11Z,27243,72668
1261,20221006T10Z,27788,77729
1272,20221005T23Z,38163,113754
1273,20221005T22Z,35930,118289
1274,20221005T21Z,34323,119209
1275,20221005T20Z,33422,128549
1276,20221005T19Z,33063,128060
1277,20221005T18Z,33453,116301
1278,20221005T17Z,32931,96538
1279,20221005T16Z,31618,81778
1280,20221005T15Z,30190,74844
1281,20221005T14Z,28228,66591
1282,20221005T13Z,26898,65987
1283,20221005T12Z,26802,69110
1284,20221005T11Z,27212,67976
1285,20221005T10Z,27983,76350
1296,20221004T23Z,36694,109359
1297,20221004T22Z,35089,116902
1298,20221004T21Z,34042,121528
1299,20221004T20Z,33729,127544
1300,20221004T19Z,33751,131473
1301,20221004T18Z,33840,112385
1302,20221004T17Z,32719,94638
1303,20221004T16Z,31286,80328
1304,20221004T15Z,29859,69819
1305,20221004T14Z,28001,66628
1306,20221004T13Z,26595,68257
1307,20221004T12Z,26466,73169
1308,20221004T11Z,26892,75360
1309,20221004T10Z,27400,78977
1320,20221003T23Z,35145,102474
1321,20221003T22Z,33961,107028
1322,20221003T21Z,32768,110395
1323,20221003T20Z,32080,115811
1324,20221003T19Z,31739,116911
1325,20221003T18Z,31850,101342
1326,20221003T17Z,31401,83008
1327,20221003T16Z,30452,72375
1328,20221003T15Z,29423,63690
1329,20221003T14Z,27371,61998
1330,20221003T13Z,25824,59743
1331,20221003T12Z,25210,57244
1332,20221003T11Z,25384,56712
1333,20221003T10Z,25935,61923
1344,20221002T23Z,28729,93383
1345,20221002T22Z,27371,101461
1346,20221002T21Z,26520,102939
1347,20221002T20Z,26326,105008
1348,20221002T19Z,26554,104455
1349,20221002T18Z,27130,85091
1350,20221002T17Z,26563,60954
